PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,type,Expenses,Surname,Is_Child,deck,side,GroupId,PassengerNum,GroupSize,Siblings,AgeClass,AgeToTransported,CryoSleepInGroup,CryoSleepInFamily,DestinationToTransported,AgeClassToExpenses,Movement,MovementToCryoSleep
0009_01,Mars,0.0,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,True,0,1309.0,Barne,0,F,P,9,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Mars -> TRAPPIST-1e,0.39647007
0010_01,Earth,0.0,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,False,0,809.0,Baketton,0,G,S,10,1,1,1,43+,0.4897324206596142,0.0,0.32525358,0.4721994423486961,1930.852210892215,Earth -> TRAPPIST-1e,0.26738608
0011_01,Earth,0.0,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,True,0,1003.0,Bertsontry,0,F,P,11,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0012_01,Earth,0.0,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,False,0,908.0,Pooles,0,G,,12,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0014_01,Mars,0.0,55 Cancri e,27.0,False,1286.0,122.0,511.1954765751212,0.0,0.0,False,0,1919.1954765751211,Eccle,0,F,P,14,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.61,1622.826575562012,Mars -> 55 Cancri e,0.4217687
0015_01,Earth,0.0,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,False,0,638.0,Hughriend,0,F,P,15,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.61,1622.826575562012,Earth -> 55 Cancri e,0.3195266
0016_01,Mars,1.0,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Upead,0,F,P,16,1,1,1,43+,0.4897324206596142,1.0,0.32525358,0.4721994423486961,1930.852210892215,Mars -> TRAPPIST-1e,0.39647007
0017_01,Earth,0.0,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Brighttt,1,G,P,17,1,2,2,0,0.8089887640449438,0.0,0.39817518,0.4721994423486961,0.0,Earth -> TRAPPIST-1e,0.26738608
0017_02,Earth,0.0,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,False,0,1092.0,Brighttt,0,F,P,17,2,2,2,13-17,0.5601926163723917,0.0,0.39817518,0.61,827.553217113614,Earth -> 55 Cancri e,0.3195266
0020_01,Earth,1.0,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,False,0,0.0,Brantuarez,1,E,S,20,1,6,3,1-4,0.7419354838709677,0.6666667,0.42001408,0.4721994423486961,0.0,Earth -> TRAPPIST-1e,0.26738608
0020_02,Earth,1.0,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,False,0,0.0,Brantuarez,0,E,S,20,2,6,3,43+,0.4897324206596142,0.6666667,0.42001408,0.61,1930.852210892215,Earth -> 55 Cancri e,0.3195266
0020_03,Earth,1.0,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,False,0,0.0,Mcfaddennon,0,E,S,20,3,6,2,18-42,0.47507897507897506,0.6666667,0.39817518,0.61,1622.826575562012,Earth -> 55 Cancri e,0.3195266
0020_04,Earth,0.0,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Jacostanley,1,E,S,20,4,6,1,5-12,0.6216216216216216,0.6666667,0.32525358,0.4721994423486961,0.0,Earth -> TRAPPIST-1e,0.26738608
0020_05,Earth,1.0,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,False,0,0.0,Brantuarez,1,E,S,20,5,6,3,1-4,0.7419354838709677,0.6666667,0.42001408,0.5037688442211056,0.0,Earth -> PSO J318.5-22,0.50735295
0020_06,Earth,0.0,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,False,0,0.0,Mcfaddennon,1,E,S,20,6,6,2,5-12,0.6216216216216216,0.6666667,0.39817518,0.4721994423486961,0.0,Earth -> TRAPPIST-1e,0.26738608
0022_01,Mars,0.0,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,False,0,1051.0,Unknown_0,0,D,P,22,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Mars -> TRAPPIST-1e,0.39647007
0024_01,Europa,1.0,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Fullided,0,C,S,24,1,1,1,43+,0.4897324206596142,1.0,0.32525358,0.4721994423486961,1930.852210892215,Europa -> TRAPPIST-1e,0.4031903
0025_01,Earth,0.0,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,False,0,1223.0,Brookenson,0,F,S,25,1,1,1,13-17,0.5601926163723917,0.0,0.32525358,0.4721994423486961,827.553217113614,Earth -> TRAPPIST-1e,0.26738608
0026_01,Europa,0.0,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False,0,7861.0,Unconary,0,C,P,26,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.61,1622.826575562012,Europa -> 55 Cancri e,0.51537883
0028_01,Mars,0.0,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,False,0,1309.0,Mare,0,F,P,28,1,1,1,43+,0.4897324206596142,0.0,0.32525358,0.4721994423486961,1930.852210892215,Mars -> TRAPPIST-1e,0.39647007
0030_01,Earth,0.0,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,False,0,1821.0,Morsentley,0,G,S,30,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0031_01,Mars,0.0,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True,0,2854.0,Datie,0,F,P,31,1,3,3,43+,0.4897324206596142,0.0,0.42001408,0.4721994423486961,1930.852210892215,Mars -> TRAPPIST-1e,0.39647007
0031_02,Mars,0.0,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Datie,1,F,P,31,2,3,3,1-4,0.7419354838709677,0.0,0.42001408,0.4721994423486961,0.0,Mars -> TRAPPIST-1e,0.39647007
0031_03,Mars,0.0,TRAPPIST-1e,20.0,False,643.1341961852861,0.0,1750.0,990.0,0.0,True,0,3383.134196185286,Datie,0,F,P,31,3,3,3,18-42,0.47507897507897506,0.0,0.42001408,0.4721994423486961,1622.826575562012,Mars -> TRAPPIST-1e,0.39647007
0034_01,Europa,1.0,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Oingwhedly,0,D,S,34,1,1,1,18-42,0.47507897507897506,1.0,0.32525358,0.61,1622.826575562012,Europa -> 55 Cancri e,0.51537883
0035_01,Mars,0.0,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,False,0,2699.0,Butte,0,D,P,35,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.61,1622.826575562012,Mars -> 55 Cancri e,0.4217687
0036_01,Earth,0.0,55 Cancri e,15.0,False,0.0,492.0,48.0,20.0,401.0,False,0,961.0,Leodger,0,F,S,36,1,1,1,13-17,0.5601926163723917,0.0,0.32525358,0.61,827.553217113614,Earth -> 55 Cancri e,0.3195266
0038_01,Earth,0.0,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,False,0,3355.0,Wheelez,0,F,S,38,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.61,1622.826575562012,Earth -> 55 Cancri e,0.3195266
0039_01,Earth,1.0,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,False,0,0.0,Batthewitt,0,G,P,39,1,1,1,18-42,0.47507897507897506,1.0,0.32525358,0.61,1622.826575562012,Earth -> 55 Cancri e,0.3195266
0041_01,Earth,1.0,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Moodsey,0,G,P,41,1,1,1,18-42,0.47507897507897506,1.0,0.32525358,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0043_01,Europa,0.0,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,0,3575.0,Cylistrand,0,B,P,43,1,1,1,43+,0.4897324206596142,0.0,0.32525358,0.4721994423486961,1930.852210892215,Europa -> TRAPPIST-1e,0.4031903
0044_01,Earth,1.0,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,False,0,0.0,Coopelandez,0,G,P,44,1,3,3,43+,0.4897324206596142,1.0,0.42001408,0.4721994423486961,1930.852210892215,Earth -> TRAPPIST-1e,0.26738608
0044_02,Earth,1.0,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Coopelandez,1,G,P,44,2,3,3,5-12,0.6216216216216216,1.0,0.42001408,0.61,0.0,Earth -> 55 Cancri e,0.3195266
0044_03,Earth,1.0,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Coopelandez,0,G,P,44,3,3,3,18-42,0.47507897507897506,1.0,0.42001408,0.5037688442211056,1622.826575562012,Earth -> PSO J318.5-22,0.50735295
0045_01,Mars,0.0,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,False,0,1214.0,Chmad,0,F,P,45,1,2,2,18-42,0.47507897507897506,0.5,0.39817518,0.4721994423486961,1622.826575562012,Mars -> TRAPPIST-1e,0.39647007
0045_02,Mars,1.0,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Chmad,0,F,P,45,2,2,2,18-42,0.47507897507897506,0.5,0.39817518,0.4721994423486961,1622.826575562012,Mars -> TRAPPIST-1e,0.39647007
0050_01,Earth,0.0,55 Cancri e,35.0,False,790.0,0.0,0.0,823.6872237423701,0.0,False,0,1613.68722374237,Lancis,0,E,S,50,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.61,1622.826575562012,Earth -> 55 Cancri e,0.3195266
0051_01,Earth,0.0,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,False,0,1618.0,Johnshines,0,E,S,51,1,1,1,43+,0.4897324206596142,0.0,0.32525358,0.4721994423486961,1930.852210892215,Earth -> TRAPPIST-1e,0.26738608
0052_01,Earth,0.0,TRAPPIST-1e,20.0,False,4.0,0.0,2.0,4683.0,0.0,False,0,4689.0,Hubbarton,0,G,S,52,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0053_01,Earth,0.0,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,True,0,1939.0,Hickerson,0,F,S,53,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0056_01,Europa,0.0,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Tractive,1,A,S,56,1,3,3,1-4,0.7419354838709677,0.33333334,0.42001408,0.4721994423486961,0.0,Europa -> TRAPPIST-1e,0.4031903
0056_02,Europa,1.0,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Tractive,0,A,S,56,2,3,3,18-42,0.47507897507897506,0.33333334,0.42001408,0.4721994423486961,1622.826575562012,Europa -> TRAPPIST-1e,0.4031903
0056_03,Europa,0.0,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,True,0,4547.0,Tractive,0,A,S,56,3,3,3,18-42,0.47507897507897506,0.33333334,0.42001408,0.4721994423486961,1622.826575562012,Europa -> TRAPPIST-1e,0.4031903
0058_01,Earth,1.0,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,False,0,0.0,Ayalazquez,0,G,S,58,1,1,1,18-42,0.47507897507897506,1.0,0.32525358,0.5037688442211056,1622.826575562012,Earth -> PSO J318.5-22,0.50735295
0061_01,Earth,0.0,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,False,0,2667.0,Salez,0,F,S,61,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0062_01,Earth,0.0,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,False,0,634.0,Greeves,0,F,S,62,1,1,1,43+,0.4897324206596142,0.0,0.32525358,0.4721994423486961,1930.852210892215,Earth -> TRAPPIST-1e,0.26738608
0064_01,Mars,1.0,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Keen,0,F,S,64,1,2,2,13-17,0.5601926163723917,1.0,0.39817518,0.4721994423486961,827.553217113614,Mars -> TRAPPIST-1e,0.39647007
0064_02,Earth,1.0,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Keen,0,E,S,64,2,2,2,18-42,0.47507897507897506,1.0,0.39817518,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0066_01,Earth,0.0,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,False,0,811.0,Pecketton,0,G,P,66,1,1,1,43+,0.4897324206596142,0.0,0.32525358,0.4721994423486961,1930.852210892215,Earth -> TRAPPIST-1e,0.26738608
0067_01,Earth,1.0,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Leeves,1,G,S,67,1,3,3,0,0.8089887640449438,0.33333334,0.42001408,0.5037688442211056,0.0,Earth -> PSO J318.5-22,0.50735295
0067_02,Earth,0.0,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,True,0,705.0,Leeves,0,G,S,67,2,3,3,18-42,0.47507897507897506,0.33333334,0.42001408,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0067_03,Earth,0.0,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,False,0,2007.0,Leeves,0,F,S,67,3,3,3,18-42,0.47507897507897506,0.33333334,0.42001408,0.61,1622.826575562012,Earth -> 55 Cancri e,0.3195266
0068_01,Mars,0.0,TRAPPIST-1e,30.5,False,793.0,0.0,2.0,253.0,0.0,False,0,1048.0,Binie,0,E,S,68,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Mars -> TRAPPIST-1e,0.39647007
0069_01,Earth,0.0,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,True,0,902.0,Unknown_1,0,F,S,69,1,1,1,43+,0.4897324206596142,0.0,0.32525358,0.4721994423486961,1930.852210892215,Earth -> TRAPPIST-1e,0.26738608
0070_01,Earth,0.0,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,False,0,922.0,Brighttt,0,F,P,70,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0071_01,Earth,0.0,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,False,0,2233.0,Dillines,0,F,P,71,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0072_01,Earth,0.0,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,False,0,1064.0,Brantuarez,0,F,S,72,1,1,1,13-17,0.5601926163723917,0.0,0.32525358,0.4721994423486961,827.553217113614,Earth -> TRAPPIST-1e,0.26738608
0073_01,Mars,0.0,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,False,0,879.0,Make,0,D,P,73,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.5037688442211056,1622.826575562012,Mars -> PSO J318.5-22,0.23880596
0074_01,Europa,0.0,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,True,0,8904.0,Mostedry,0,C,S,74,1,1,1,43+,0.4897324206596142,0.0,0.32525358,0.4721994423486961,1930.852210892215,Europa -> TRAPPIST-1e,0.4031903
0076_01,Mars,0.0,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,True,0,1165.0,Dal,0,F,S,76,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Mars -> TRAPPIST-1e,0.39647007
0077_01,Mars,0.0,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,True,0,1309.0,Blité,0,F,P,77,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Mars -> TRAPPIST-1e,0.39647007
0078_01,Europa,0.0,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,False,0,15815.0,Pokerheed,0,C,S,78,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Europa -> TRAPPIST-1e,0.4031903
0081_01,Earth,1.0,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,False,0,0.0,Vinozarks,0,G,S,81,1,1,1,13-17,0.5601926163723917,1.0,0.32525358,0.4721994423486961,827.553217113614,Earth -> TRAPPIST-1e,0.26738608
0082_01,Mars,0.0,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,False,0,7406.0,Datte,0,F,P,82,1,3,3,43+,0.4897324206596142,0.33333334,0.42001408,0.4721994423486961,1930.852210892215,Mars -> TRAPPIST-1e,0.39647007
0082_02,Mars,1.0,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Datte,1,F,P,82,2,3,3,1-4,0.7419354838709677,0.33333334,0.42001408,0.4721994423486961,0.0,Mars -> TRAPPIST-1e,0.39647007
0082_03,Mars,0.0,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Datte,1,F,P,82,3,3,3,5-12,0.6216216216216216,0.33333334,0.42001408,0.4721994423486961,0.0,Mars -> TRAPPIST-1e,0.39647007
0084_01,Earth,0.0,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,True,0,705.0,Coopezmaney,0,G,S,84,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0085_01,Europa,1.0,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Ellcefulve,0,C,S,85,1,1,1,18-42,0.47507897507897506,1.0,0.32525358,0.4721994423486961,1622.826575562012,Europa -> TRAPPIST-1e,0.4031903
0086_01,Earth,0.0,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,False,0,1362.0,Kinson,0,F,P,86,1,1,1,43+,0.4897324206596142,0.0,0.32525358,0.4721994423486961,1930.852210892215,Earth -> TRAPPIST-1e,0.26738608
0088_01,Mars,1.0,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Sacre,0,E,S,88,1,1,1,43+,0.4897324206596142,1.0,0.32525358,0.5037688442211056,1930.852210892215,Mars -> PSO J318.5-22,0.23880596
0090_01,Earth,1.0,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Santry,0,G,S,90,1,1,1,18-42,0.47507897507897506,1.0,0.32525358,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0091_01,Earth,1.0,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Yorkland,0,G,S,91,1,2,2,18-42,0.47507897507897506,0.5,0.39817518,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0091_02,Earth,0.0,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,False,0,917.0,Yorkland,0,F,S,91,2,2,2,18-42,0.47507897507897506,0.5,0.39817518,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0092_01,Earth,0.0,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,False,0,705.0,Dunnisey,0,G,P,92,1,3,1,18-42,0.47507897507897506,0.6666667,0.32525358,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0092_02,Earth,1.0,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Hewson,1,G,P,92,2,3,2,0,0.8089887640449438,0.6666667,0.39817518,0.4721994423486961,0.0,Earth -> TRAPPIST-1e,0.26738608
0092_03,Earth,1.0,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Hewson,1,G,P,92,3,3,2,1-4,0.7419354838709677,0.6666667,0.39817518,0.4721994423486961,0.0,Earth -> TRAPPIST-1e,0.26738608
0097_01,Europa,0.0,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,False,0,1848.0,Fictful,0,A,S,97,1,1,1,43+,0.4897324206596142,0.0,0.32525358,0.4721994423486961,1930.852210892215,Europa -> TRAPPIST-1e,0.4031903
0098_01,Earth,0.0,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,False,0,893.0,Carezquez,0,G,P,98,1,2,2,18-42,0.47507897507897506,0.0,0.39817518,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0098_02,Earth,0.0,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,True,0,3855.0,Carezquez,0,G,P,98,2,2,2,18-42,0.47507897507897506,0.0,0.39817518,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0099_01,Earth,0.0,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,False,0,1301.0,Leetersoney,0,F,P,99,1,2,1,18-42,0.47507897507897506,0.5,0.32525358,0.5037688442211056,1622.826575562012,Earth -> PSO J318.5-22,0.50735295
0099_02,Earth,1.0,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Connelson,1,G,P,99,2,2,1,1-4,0.7419354838709677,0.5,0.32525358,0.4721994423486961,0.0,Earth -> TRAPPIST-1e,0.26738608
0101_01,Mars,1.0,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Trad,0,G,,101,1,1,1,18-42,0.47507897507897506,1.0,0.32525358,0.4721994423486961,1622.826575562012,Mars -> TRAPPIST-1e,0.39647007
0102_01,Earth,0.0,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,False,0,921.0,Holson,0,F,S,102,1,1,1,18-42,0.47507897507897506,0.0,0.32525358,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0103_01,Earth,0.0,TRAPPIST-1e,24.0,False,0.0,1263.7984564498347,0.0,0.0,17.0,True,0,1280.7984564498347,Mclainez,0,F,S,103,1,3,3,18-42,0.47507897507897506,0.6666667,0.42001408,0.4721994423486961,1622.826575562012,Earth -> TRAPPIST-1e,0.26738608
0103_02,Earth,1.0,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,True,0,0.0,Mclainez,1,G,S,103,2,3,3,5-12,0.6216216216216216,0.6666667,0.42001408,0.61,0.0,Earth -> 55 Cancri e,0.3195266
0103_03,Earth,1.0,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,False,0,0.0,Mclainez,1,G,S,103,3,3,3,5-12,0.6216216216216216,0.6666667,0.42001408,0.4721994423486961,0.0,Earth -> TRAPPIST-1e,0.26738608
